artist_count;released_year;released_month;released_day;in_spotify_playlists;in_spotify_charts;bpm;danceability__;valence__;energy__;acousticness__;instrumentalness__;liveness__;speechiness__;in_apple_playlists;in_apple_charts;in_deezer_playlists;in_deezer_charts;in_shazam_charts;released_date;track_id_limpo;mode_maiusculo;track_name_limpo;artist_name_limpo;total_playlists;media_total_charts;streams_corrigido;n_musicas;quartil_streams;quartil_bpm;quartil_danceability;quartil_valence;quartil_energy;quartil_acousticness;quartil_instrumentalness;quartil_liveness;quartil_speechiness;segmentacao_streams;segmentacao_bpm;segmentacao_danceability;segmentacao_valence;segmentacao_energy;segmentacao_acousticness;segmentacao_instrumentalness;segmentacao_liveness;segmentacao_speechiness
2;2021;11;19;3541;2;172;31;4;86;1;0;28;17;57;13;50;1;7;19/11/2021;2761463;MINOR;DOWN UNDER FEAT COLIN HAY;LUUDE COLIN HAY;3648;5,75;252871192;1;2;4;1;1;4;1;2;4;4;Baixo;Alto;Baixo;Baixo;Alto;Baixo;Baixo;Alto;Alto
1;1998;3;31;13101;9;156;32;49;72;0;0;9;4;137;5;582;0;0;31/03/1998;8262886;MINOR;IRIS;THE GOO GOO DOLLS;13820;3,5;1284942608;1;4;4;1;2;3;1;2;1;2;Alto;Alto;Baixo;Baixo;Alto;Baixo;Baixo;Baixo;Baixo
1;2019;10;18;794;10;150;34;24;56;4;0;11;3;38;25;61;0;263;18/10/2019;4812397;MAJOR;CARS OUTSIDE;JAMES ARTHUR;893;74,5;265882712;2;2;4;1;1;2;1;3;2;1;Baixo;Alto;Baixo;Baixo;Baixo;Baixo;Alto;Baixo;Baixo
1;2015;5;10;3006;3;180;35;41;94;0;63;5;5;23;21;121;0;13;10/05/2015;7435337;MAJOR;FREAKS;SURF CURSE;3150;9,25;824420218;1;4;4;1;2;4;1;4;1;2;Alto;Alto;Baixo;Baixo;Alto;Baixo;Alto;Baixo;Baixo
1;2003;9;23;51979;15;148;35;24;93;0;0;10;8;306;99;5063;2;120;23/09/2003;1512850;MAJOR;MR BRIGHTSIDE;THE KILLERS;57348;59;1806617704;1;4;4;1;1;4;1;1;2;3;Alto;Alto;Baixo;Baixo;Alto;Baixo;Baixo;Baixo;Alto
1;2017;3;21;13091;17;94;37;17;47;2;46;11;3;61;96;790;2;116;21/03/2017;1323431;MAJOR;APOCALYPSE;CIGARETTES AFTER SEX;13942;57,75;841749534;1;4;1;1;1;1;1;4;2;1;Alto;Baixo;Baixo;Baixo;Baixo;Baixo;Alto;Baixo;Baixo
2;2019;8;4;5342;0;141;37;17;67;2;0;34;9;33;123;7;0;4;04/08/2019;6792432;MAJOR;ALL FOR US  FROM THE HBO ORIGINAL SERIES EUPHORIA;LABRINTH ZENDAYA;5382;31,75;426204830;1;3;4;1;1;3;1;1;4;3;Alto;Alto;Baixo;Baixo;Alto;Baixo;Baixo;Alto;Alto
1;2022;2;22;290;0;200;39;28;77;4;0;6;29;9;66;10;0;0;22/02/2022;2166249;MINOR;OO;NMIXX;309;16,5;135444283;1;1;4;1;1;4;1;1;1;4;Baixo;Alto;Baixo;Baixo;Alto;Baixo;Baixo;Baixo;Alto
1;2015;4;22;3045;6;166;40;23;48;5;0;12;3;43;53;134;1;32;22/04/2015;1168222;MINOR;ATLANTIS;SEAFRET;3222;23;571386359;1;3;4;1;1;1;1;1;2;1;Alto;Alto;Baixo;Baixo;Baixo;Baixo;Baixo;Baixo;Baixo
1;2022;1;10;254;0;145;41;65;88;0;0;26;5;0;4;23;0;0;10/01/2022;5922471;MAJOR;THE RUMBLING TV SIZE;SIM;277;1;71014967;1;1;4;1;3;4;1;3;4;2;Baixo;Alto;Baixo;Alto;Alto;Baixo;Alto;Alto;Baixo
1;2020;1;10;4057;8;186;41;9;61;2;0;12;5;78;21;240;1;52;10/01/2020;1464404;MINOR;MIDDLE OF THE NIGHT;ELLEY DUH;4375;20,5;872137015;1;4;4;1;1;2;1;2;2;2;Alto;Alto;Baixo;Baixo;Baixo;Baixo;Baixo;Baixo;Baixo
2;2023;6;5;215;6;84;43;14;74;1;0;19;8;6;14;8;2;4;05/06/2023;1193878;MINOR;LILITH FEAT SUGA OF BTS DIABLO IV ANTHEM;HALSEY SUGA;229;6,5;51985779;1;1;1;1;1;3;1;1;3;3;Baixo;Baixo;Baixo;Baixo;Alto;Baixo;Baixo;Alto;Alto
1;1999;1;1;31358;43;173;43;28;66;0;0;23;3;196;2;4053;5;0;01/01/1999;4527090;MAJOR;YELLOW;CHRIS MOLITOR;35607;12,5;1755214421;1;4;4;1;1;3;1;3;3;1;Alto;Alto;Baixo;Baixo;Alto;Baixo;Alto;Alto;Baixo
2;2022;3;24;832;3;140;44;41;92;0;0;44;7;18;124;24;1;0;24/03/2022;6644972;MINOR;LAYLA;SCHRZE DJ R;874;32;130419412;1;1;3;1;2;4;1;1;4;3;Baixo;Alto;Baixo;Baixo;Alto;Baixo;Baixo;Alto;Alto
1;2019;9;13;2668;2;130;47;56;90;0;0;10;4;38;266;78;0;141;13/09/2019;6373026;MAJOR;MARY ON A CROSS;GHOST;2784;102,25;387080183;1;3;3;1;3;4;1;3;2;2;Alto;Alto;Baixo;Alto;Alto;Baixo;Alto;Baixo;Baixo
1;2022;12;2;353;2;155;49;42;77;3;0;12;9;2;74;14;0;2;02/12/2022;3305057;MAJOR;WILD FLOWER WITH YOUJEEN;RM;369;19,5;135611421;1;1;4;1;2;3;1;2;2;3;Baixo;Alto;Baixo;Baixo;Alto;Baixo;Baixo;Baixo;Alto
1;2003;3;24;20111;5;110;50;24;86;0;0;64;4;39;0;7341;0;0;24/03/2003;3049716;MAJOR;NUMB;LINKIN PARK;27491;1,25;1361425037;2;4;2;1;1;4;1;2;4;1;Alto;Baixo;Baixo;Baixo;Alto;Baixo;Baixo;Alto;Baixo
1;2023;7;7;139;17;142;50;20;64;1;0;12;3;16;72;5;0;8;07/07/2023;6063105;MAJOR;BACK TO DECEMBER TAYLORS VERSION;TAYLOR SWIFT;160;24,25;39228929;34;1;4;1;1;2;1;2;3;1;Baixo;Alto;Baixo;Baixo;Baixo;Baixo;Baixo;Alto;Baixo
1;2023;7;7;86;11;146;50;67;89;0;0;19;8;3;33;3;0;1;07/07/2023;3054476;MINOR;BETTER THAN REVENGE TAYLORS VERSION;TAYLOR SWIFT;92;11,25;30343206;34;1;4;1;3;4;1;3;3;3;Baixo;Alto;Baixo;Alto;Alto;Baixo;Alto;Alto;Alto
2;2022;5;12;2942;0;125;50;39;78;4;0;11;33;42;28;43;0;0;12/05/2022;4528930;MAJOR;COOPED UP WITH RODDY RICCH;POST MALONE RODDY RICCH;3027;7;271666301;1;2;3;1;2;4;1;2;2;4;Baixo;Alto;Baixo;Baixo;Alto;Baixo;Baixo;Baixo;Alto
1;2023;4;14;2528;39;170;50;37;90;0;0;12;5;56;91;59;3;486;14/04/2023;2619841;MAJOR;CHEMICAL;POST MALONE;2643;154,75;172825906;3;2;4;1;2;4;1;1;2;2;Baixo;Alto;Baixo;Baixo;Alto;Baixo;Baixo;Baixo;Baixo
1;2016;1;15;2948;0;110;51;48;82;0;0;5;3;10;2;150;0;0;15/01/2016;7498965;MINOR;HOUSE OF MEMORIES;PANIC AT THE DISCO;3108;0,5;582863434;1;3;2;1;2;4;1;3;1;1;Alto;Baixo;Baixo;Baixo;Alto;Baixo;Alto;Baixo;Baixo
1;2013;10;25;6596;0;160;51;69;81;0;0;21;5;144;99;251;0;0;25/10/2013;4278371;MAJOR;UNDERNEATH THE TREE;KELLY CLARKSON;6991;24,75;485285717;1;3;4;1;3;4;1;2;3;2;Alto;Alto;Baixo;Alto;Alto;Baixo;Baixo;Alto;Baixo
1;2023;7;7;148;24;82;51;22;53;1;0;15;3;32;93;8;2;5;07/07/2023;6801500;MAJOR;ENCHANTED TAYLORS VERSION;TAYLOR SWIFT;188;31;39578178;34;1;1;1;1;1;1;1;3;1;Baixo;Baixo;Baixo;Baixo;Baixo;Baixo;Baixo;Alto;Baixo
1;2022;5;3;2528;0;148;51;21;63;5;0;41;3;63;8;270;2;105;03/05/2022;8238387;MAJOR;HOLD MY HAND;LADY GAGA;2861;28,75;238350348;2;2;4;1;1;2;1;1;4;1;Baixo;Alto;Baixo;Baixo;Baixo;Baixo;Baixo;Alto;Baixo
1;2007;4;20;13985;25;140;52;20;85;0;0;7;5;30;80;588;1;1;20/04/2007;7750995;MAJOR;505;ARCTIC MONKEYS;14603;26,75;1217120710;4;4;3;1;1;4;1;2;1;2;Alto;Alto;Baixo;Baixo;Alto;Baixo;Baixo;Baixo;Baixo
1;2022;10;7;1585;5;130;52;24;60;0;0;8;3;78;65;328;1;198;07/10/2022;6321372;MAJOR;THE LONELIEST;MNE;1991;67,25;225093344;4;2;3;1;1;2;1;2;1;1;Baixo;Alto;Baixo;Baixo;Baixo;Baixo;Baixo;Baixo;Baixo
1;1991;9;10;49991;9;117;52;73;91;0;0;11;7;265;121;12367;4;160;10/09/1991;5615333;MAJOR;SMELLS LIKE TEEN SPIRIT  REMASTERED 2021;NIRVANA;62623;73,5;1690192927;2;4;2;1;4;4;1;2;2;3;Alto;Baixo;Baixo;Alto;Alto;Baixo;Baixo;Baixo;Alto
