artist_name_limpo,total_musicas,total_streams
LUUDE COLIN HAY,1,252871192
THE GOO GOO DOLLS,1,1284942608
JAMES ARTHUR,2,2686344050
SURF CURSE,1,824420218
THE KILLERS,1,1806617704
CIGARETTES AFTER SEX,1,841749534
LABRINTH ZENDAYA,1,426204830
NMIXX,1,135444283
SEAFRET,1,571386359
SIM,1,71014967
ELLEY DUH,1,872137015
HALSEY SUGA,1,51985779
CHRIS MOLITOR,1,1755214421
SCHRZE DJ R,1,130419412
GHOST,1,387080183
RM,1,135611421
LINKIN PARK,2,2985590613
TAYLOR SWIFT,34,14053658300
POST MALONE RODDY RICCH,1,271666301
POST MALONE,3,2319942143
PANIC AT THE DISCO,1,582863434
KELLY CLARKSON,1,485285717
LADY GAGA,2,610826730
ARCTIC MONKEYS,4,5569806731
MNE,4,2675632206
NIRVANA,2,2058839789
THE WEEKND,18,9815205161
AVICII,2,3426754746
MORGAN WALLEN,11,1666199217
RADIOHEAD,1,1271293243
DRAKE 21 SAVAGE,8,2076567740
METALLICA,1,704171068
LEAH KATE,1,185550869
JIN,1,203436468
BEYONC,3,1122304190
TV GIRL,1,466231982
BTS,7,2696993599
TROYE SIVAN,2,431424489
BEBE REXHA DAVID GUETTA,1,1109433169
CHILDISH GAMBINO,1,445590495
BEACH WEATHER,1,480507035
LABRINTH,7,2312730131
THE NEIGHBOURHOOD,2,1727238454
ED SHEERAN,7,11051252012
AHA,1,1479115056
PAULO LONDRA,2,330227609
KENSHI YONEZU,1,210038833
COLDPLAY BTS,1,1061966512
LF SYSTEM,1,244790012
JUSTIN BIEBER THE KID LAROI,1,2665343922
DEMI LOVATO,1,677389855
ROBIN SCHULZ OLIVER TREE,1,497225336
BAND AID,1,481697415
THE WEEKND FUTURE,1,96180277
AAP ROCKY METRO BOOMIN ROISEE,1,94186466
JUICE WRLD,2,2474103659
DAVID GUETTA ELLA HENDERSON BECKY HILL,1,286739476
DAVID GUETTA ANNEMARIE COI LERAY,1,177740666
SHAWN MENDES,3,2256812464
THE CHAINSMOKERS COLDPLAY,1,2204080728
RUTH B,1,1116995633
TATE MCRAE,2,1523292028
ADELE,4,4508746590
BIZARRAP QUEVEDO,1,1356565093
JIMIN,3,705445695
HALSEY,1,91781263
GWEN STEFANI BLAKE SHELTON,1,180577478
BRUNO MARS,4,5846920599
BAD BUNNY,19,9997799607
RAY DALTON RYAN LEWIS MACKLEMORE,1,1953533826
PNK,1,134255790
SZA,19,4557811204
CALVIN HARRIS ELLIE GOULDING,1,211050784
ARIANA GRANDE THE WEEKND,2,1740558591
FEID,8,2220740399
JACK HARLOW,3,1038470158
JESSICA DARROW,1,267758538
PREZIOSO GABRY PONTE LUMX,1,422691058
DRAKE TRAVIS SCOTT,1,593917618
DUA LIPA,3,3227639000
BAD BUNNY ELADIO CARRION,1,250305248
THE WEEKND POST MALONE,1,539595276
HARRY STYLES,15,6772877034
STEVE AOKI TINI LA JOAQUI,1,120972253
21 SAVAGE GUNNA,1,60680939
MIGUEL,1,950906471
IVE,4,942190597
KATY PERRY ALESSO,1,226897599
SPED UP NIGHTCORE ARIZONATEARS LIL UZI VERT,1,207033255
LIL BABY,2,187339412
OSCAR MAYDON JUNIOR H,1,307370144
MABEL MATIZ MERT DEMIR,1,136689549
DUA LIPA DABABY,1,1802514301
EMINEM,4,6183805596
TOMORROW X TOGETHER,1,107642809
SAM SMITH KIM PETRAS,1,1230675890
KORDHELL,1,448843705
KENDRICK LAMAR BABY KEEM,1,560222750
KANYE WEST XXXTENTACION,1,194902696
NEIKED MAE MULLER POLO G,1,421040617
MARSHMELLO JONAS BROTHERS,1,651732901
YUNG GRAVY,1,221752937
RIHANNA CALVIN HARRIS,1,1235005533
THXSOMCH,1,605086148
GIDLE,2,266983330
LIL NAS X,2,1253303543
JNR CHOI,1,245095641
SABRINA CARPENTER,1,342897938
DADDY YANKEE BAD BUNNY,2,1108955074
SEAN PAUL DUA LIPA,1,956865266
TISTO AVA,1,656013912
TAEYANG LISA,1,76910644
SHAWN MENDES CAMILA CABELLO,1,2484812918
WILLOW,1,924193303
IMAGINE DRAGONS,3,5272484650
DRAKE WIZKID KYLA,1,2713922350
SNOOP DOGG BTS BENNY BLANCO,1,219196651
JASON DERULO,1,363467642
THE ANXIETY WILLOW TYLER COLE,1,530511203
DR DRE 2PAC ROGER,1,579395142
YOUNG THUG FUTURE GUNNA,1,311395144
EMINEM DIDO,1,918915401
MATU WIU ,1,187772591
MC PEDRINHO PEDRO SAMPAIO,1,208166039
KENDRICK LAMAR BEYONC,1,57089066
JHOPE,1,155795783
MARSHMELLO MANUEL TURIZO,1,223633238
YANDEL FEID,2,632789310
KANYE WEST,3,1967540868
SOG RYAN CASTRO PESO PLUMA,1,11599388
PHARRELL WILLIAMS NILE RODGERS DAFT PUNK,1,933815613
CHARLI XCX JAX JONES JOEL CORRY SAWEETIE,1,427486004
BLACKPINK,3,1269030423
FEID PAULO LONDRA,1,73513683
FREDDIE DREDD,1,199386237
DUA LIPA ELTON JOHN PNAU,1,1605224506
DRAKE FUTURE YOUNG THUG,1,489945871
EMINEM DINA RAE,1,655466831
BAD BUNNY JHAY CORTEZ,2,2371592360
NAYEON,1,213505179
TYGA DOJA CAT,1,153240879
SKRILLEX FLOWDAN FRED AGAIN,1,78489819
NATANAEL CANO,1,31873544
KENIA OS,1,156214700
NEWJEANS,6,1544567007
ZION  LENNOX,1,527033089
LASSO,1,263280370
RITON NIGHTCRAWLERS MUFASA  HYPEMAN DOPAMINE,1,863756573
KALIII KALIII,1,113509496
SEBASTIAN YATRA MANUEL TURIZO BE,1,90839753
DOJA CAT THE WEEKND,1,672656250
OFFSET JID,1,24975653
KODAK BLACK,1,342779426
BAD BUNNY RAUW ALEJANDRO,1,614555082
JAMES HYPE MIGGY DELA ROSA,1,462791599
FRAN C POLIMA WESTCOAST NICKOOG CLK PABLITO PESADILLA,1,159240673
JISOO,1,232896922
CHERISH ACRAZE,1,674772936
DRAKE,4,655542929
LE SSERAFIM,2,530549573
JESSI,1,136996305
BABY RASTA RAUW ALEJANDRO,1,304079786
PHARRELL WILLIAMS TYLER THE CREATOR 21 SAVAGE,1,136676504
KANYE WEST LIL DURK CARDI B,1,85924992
ED SHEERAN J BALVIN,1,106933107
J BALVIN MARIA BECERRA,1,720825549
OZUNA FEID,1,674072710
PSY SUGA,1,212109195
FRANK OCEAN,2,1628636796
KENDRICK LAMAR,12,3033135947
DR DRE SNOOP DOGG,2,2053908531
NICKI MINAJ,2,510105069
COI LERAY,1,335074782
THE RARE OCCASIONS,1,421135627
THE WEEKND GESAFFELSTEIN,2,1392204126
SUKI WATERHOUSE,1,184706613
THE KID LAROI,2,392280108
RAYE 070 SHAKE,2,716645106
NESSA BARRETT,1,131746175
KEANE,1,1089402494
GUNS N ROSES,1,1553497987
BILLIE EILISH,4,1559672403
VUNDABAR,1,370068639
KANYE WEST ALICIA KEYS FIVIO FOREIGN,1,107255472
DON OMAR LUCENZO,1,1279434863
LIL UZI VERT,1,457184829
COLDPLAY,3,3825176058
BIG ONE FMK KE PERSONAJES,1,142095275
MORGAN WALLEN ERIC CHURCH,1,58890931
OLIVIA RODRIGO,5,3696965124
TINI LGANTE,1,200972675
EDISON LIGHTHOUSE,1,514137424
KODAK BLACK NLE CHOPPA MUNI LONG JVKE JIMIN,1,133753727
JUNG KOOK,2,284788646
EMINEM NATE DOGG,1,1695712020
ROSA LINN,1,1437674063
ARCANGEL DE LA GHETTO JUSTIN QUILES LENNY TAVREZ SECH DALEX DIMELO FLOW RICH MUSIC,1,223319934
ROSAL,2,907358070
LANA DEL REY,3,1396024922
YOASOBI,1,143573775
GIRL IN RED,1,723043854
PALOMA FAITH,1,588955257
GRUPO MARCA REGISTRADA GRUPO FRONTERA,1,147290338
NIALL HORAN,1,144584800
STRAY KIDS,2,277731036
MRKITTY,1,646886885
GRUPO FRONTERA,1,404887295
MC RYAN SP LOVE FUNK MC PAIVA ZS,1,187701588
OLGA MEREDIZ STEPHANIE BEATRIZ ENCANTO  CAST,1,184937148
FUJII KAZE,1,403097450
YUNG LEAN,1,240769997
ENHYPEN,3,365477661
BURNA BOY,2,389473914
DUKI,2,342373931
FEID MORA SAIKO QUEVEDO,1,57312735
TYLER THE CREATOR,3,600669417
TAYLOR SWIFT ICE SPICE,1,46142772
ANUEL AA MYKE TOWERS JHAY CORTEZ,1,177129919
BRUNO MARS ANDERSON PAAK SILK SONIC,2,1499431000
JULIETA VENEGAS BAD BUNNY TAINY,1,775542072
GUSTAVO MIOTO MARI FERNANDEZ,1,222612678
PNB ROCK,1,380319238
TORY LANEZ,1,415932686
FUTURE,2,304965349
HALSEY BTS,1,1065580332
EMMY MELI,1,225259194
BOMBA ESTREO BAD B,1,1133865788
MARSHMELLO JUICE WRLD,1,84697729
SOUTHSTAR,1,154356956
ONEREPUBLIC,2,3097149603
ELTON JOHN BRITNEY SPEARS,1,284216603
JAYMES YOUNG,1,888046992
MILEY CYRUS,2,1887370770
C TANGANA,1,339473453
KANII PR1ISVX,1,77377503
BRITNEY SPEARS,1,261116938
PEGGY GOU,1,57876440
THE WEEKND DAFT PUNK,1,2565529693
LIL TJAY,1,190981339
FUTURE METRO BOOMIN DON TOLIVER,1,286400165
DADDY YANKEE,2,815714311
CHARLIE PUTH,2,646703472
YEAT,2,412240659
TISTO TATE M,1,325592432
LIL YACHTY,1,115331792
SHAE GILL ALI SETHI,1,284249832
MYKE TOWERS,1,133716286
BTS JUNG KOOK FIFA SOUND,1,323358833
SHAKIN STEVENS,1,351636786
FEID MYKE TOWERS SKY ROMPIENDO,1,107753850
FUTURE CHRIS BROWN METRO BOOMIN,1,401036314
DRAKE DJ KHALED LIL BABY,1,170732845
LIZZO,2,3143267015
CHRIS BROWN RVSSIAN RAUW ALEJANDRO,1,436695353
CHANEL,1,65719930
J BALVIN NIO GARCIA BAD BUNNY,1,528544703
POST MALONE DOJA CAT,1,609293408
KENDRICK LAMAR JAY ROCK,1,1093605526
CREEDENCE CLEARWATER REVIVAL,1,1145727611
DOECHII,1,95131998
WISIN  YANDEL ROSAL,1,309483971
SEBASTIAN YATRA,2,677953234
DRAKE TRAVIS SCOTT 21 SAVAGE,1,191333656
AITANA ZZOILO,1,578207856
THE WEEKND LIL WAYNE,1,91656026
J BALVIN BAD BUNNY,1,1435127549
RYAN CASTRO,2,626026463
LIL DURK MORGAN WALLEN,1,46065667
ANUEL AA JHAY CORTEZ,1,355219175
MALUMA,1,513643924
VISHALSHEKHAR SHILPA RAO CARALISA MONTEIRO KUMAAR VISHAL DADLANI SHEKHAR RAVJIANI,1,140187018
NATANAEL CANO GABITO BALLESTEROS PESO PLUMA,1,463564958
RAUW ALEJANDRO BIZARRAP,2,121168605
SEVENTEEN,1,91221625
KEVIN GATES JUICY J,1,109091573
TWICE,2,535379733
NATANAEL CANO PESO PLUMA,1,436027885
DE LA GHETTO DUKI QUEVEDO,1,178512385
MYKE TOWERS QUEVEDO,1,221409663
FUERZA REGIDA,2,254854130
TAEYANG JIMIN,1,152850295
NICKY JAM FEID,1,57945987
DOJA CAT,4,2330636146
NILE RODGERS LE SSERAFIM,1,92035115
LUCIANO AITCH B,1,146223492
NENGO FLOW ANUEL AA CHRIS JEDI CHENCHO CORLEONE,1,333146475
TRAVIS SCOTT METRO BOOMIN,1,110649992
BIG ONE DUKI LIT KILLAH MARIA BECERRA FMK RUSHERKING EMILIA TIAGO PZK,1,123122413
GODZZ ZAKARIA,1,1180896317
TAINY BAD BUNNY,1,61245289
ANITTA,1,546191065
DUA LIPA MEGAN THEE STALLION,1,299634472
JUSTIN BIEBER DON TOLIVER,1,106919680
SEAN PAUL FEID,1,115010040
ARIJIT SINGH VISHAL DADLANI SUKRITI KAKAR VISHALSHEKHAR SHEKHAR RAVJIANI KUMAAR,1,1365184
CALVIN HARRIS DUA LIPA YOUNG THUG,1,190625045
FEID SECH JHAYCO,1,133895612
BIZARRAP VILLANO ANTILLANO,1,248511839
KALUSH,1,53729194
FEID ALEJO ROBI,1,273005485
J COLE LIL DURK,1,144565150
OZUNA TIAGO PZK,1,138334433
INTENSE AP DHILLON GURINDER GILL,1,327498031
DON TOLIVER FUTURE JUSTIN BIEBER,1,105062254
PLAN B,1,540654286
KAROL G BECKY G,1,716591492
THE WEEKND MADONNA PLAYBOI CARTI,1,115364561
DRAKE PROJECT PAT 21 SAVAGE,1,594482982
BYOR IMANBEK,1,383835984
GUNNA,1,95217315
TINI MARIA BECERRA,1,596152090
ANITTA TINI BECKY G,1,121189256
TRUENO,1,198883004
FEID YOUNG MIKO,1,335222234
CRIS MJ,1,682475162
TETO,1,139193812
NENGO FLOW BAD BUNNY,1,304118600
Z FE,1,154119539
NICKI MINAJ LIL BABY,2,146065318
ARMANI WHITE,1,277132266
NICKI MINAJ ICE SPICE,1,104992946
GUNNA LIL BABY,1,54937991
BELLAKATH,1,168684524
CHENCHO CORLEONE BAD BUNNY,1,1440757818
DE LA GHETTO FEID POLIMA WESTCOAST PALOMA MAMI PAILITA,1,279717388
MARSHMELLO KHALID,1,295307001
JORDAN FISHER JOSH LEVI FINNEAS OCONNELL 4TOWN FROM DISNEY AND PIXARS TURNING RED TOPHER NGO GRAYSON VILL,1,120847157
EMINEM DR DRE,2,739827412
NLE CHOPPA,1,190490915
JOHN LENNON THE HARLEM COMMUNITY CHOIR THE PLASTIC ONO BAND YOKO ONO,1,460492795
DARLENE LOVE,1,242767149
DOVE CAMERON,1,496311364
BENSON BOONE,1,382199619
AEROSMITH,1,838586769
DEAN LEWIS,1,284785823
QUEEN,1,2197010679
THE WEEKND TYLER THE CREATOR,1,88103848
DANNY OCEAN,1,421365166
DRAKE FUTURE TEMS,1,556585270
SAM RYDER,1,54682594
JOJI,3,2357270185
HOTEL UGLY,2,586967944
TRAVIS SCOTT 21 SAVAGE METRO BOOMIN,1,195516622
CARIN LEON GRUPO FRONTERA,1,2762
CHRIS REA,1,429504768
MAHMOOD BLANCO,1,135079152
THE RONETTES,1,404664135
FUERZA REGIDA GRUPO FRONTERA,1,367316268
RM COLDE,1,34502215
KENDRICK LAMAR SAMPHA,1,127309180
LOREEN,1,201660859
EDEN MU,1,299648208
TYLER THE CREATOR KALI UCHIS,1,1047101291
SOFIA CARSON,1,97610446
JUNIOR H PESO PLUMA,2,410337753
PESO PLUMA GRUPO FRONTERA,1,52294266
STROMAE,1,108809090
BAD BUNNY GRUPO FRONTERA,1,505671438
KENDRICK LAMAR GHOSTFACE KILLAH SUMMER WALKER,1,76831876
LADY GAGA BRADLEY COOPER,1,2159346687
TWISTED OLIVER TREE,1,213438580
THE WEEKND LANA DEL REY,1,611700552
SIMONE MENDES,1,153454328
ZACH BRYAN,1,449701773
ED SHEERAN ELTON JOHN,1,135723538
SWAE LEE LIL WAYNE OFFSET METRO BOOMIN,1,86773632
BIZARRAP PAULO LONDRA,1,164163229
YAHRITZA Y SU ESENCIA GRUPO FRONTERA,1,188933502
MAMBO KINGZ DJ LUIAN ANUEL AA,2,197257295
ISRAEL  RODOLFFO MARI FERNANDEZ,1,138517666
NIKI,1,290228626
RELS B,1,331511413
CAMILA CABELLO WILLOW,1,75476209
MALDY KAROL G,1,322336177
TEARS FOR FEARS,1,1205951614
GABITO BALLESTEROS JUNIOR H PESO PLUMA,1,86444842
OXLADE,1,222410722
ISRAEL  RODOLFFO ANA CASTELA,1,263453310
KENDRICK LAMAR TAYLOUR PAIGE,1,68895644
STYRX UTKU INC THEZTH,1,90598517
PINKPANTHERESS,1,156338624
FUERZA REGIDA NATANAEL CANO,1,288101651
TONY DIZE BAD BUNNY,1,479655659
SECH BAD BUNNY MORA,1,610045621
QUEVEDO,4,977071326
LEWIS CAPALDI,2,1847456546
TRUENO TIAGO PZK,1,261414174
CHASE ATLANTIC,1,498960285
SIDHU MOOSE WALA,1,183273246
ANNENMAYKANTEREIT GIANT ROOKS,1,236872197
MARIA BECERRA,1,43857627
SECH MORA,1,184622518
ANA CASTELA AGROPLAY,1,233801632
AGUST D,1,118810253
PINKPANTHERESS ICE SPICE,1,156338624
RAIM LAODE,1,137123880
SAM SMITH CALVIN HARRIS JESSIE REYEZ,1,103787664
KING,1,319566866
J COLE,1,1791000570
JASIEL NUEZ PESO P,2,129083819
SHAKIRA RAUW ALEJANDRO,1,606361689
EL CHACHITO JUNIOR H,1,198275403
LIT KILLAH MARIA BECERRA TIAGO PZK NICKI NICOLE,1,236940480
LUAR LA L,1,273914335
FUERZA REGIDA CHINO PACAS,1,116334601
THE WEEKND 21 SAVAGE METRO BOOMIN,1,843957510
ARCANGEL BAD BUNNY,1,538115192
LUKE COMBS,1,157058870
IMAGINE DRAGONS LEAGUE OF LEGENDS JID ARCANE,1,1223481149
STEPHANIE BEATRIZ DIANE GUERRERO,1,154797871
MELANIE MARTINEZ,1,67070410
IU AGUST D,1,95816024
ALVARO DIAZ RAUW ALEJANDRO,1,209768491
NF,1,52722996
IMAGINE DRAGONS LEAGUE OF LEGENDS ARCANE,1,1223481149
MUSICAL YOUTH,1,195918494
KENDRICK LAMAR TANNA LEONE,1,58687425
AVENTURA BAD BUNNY,1,673801126
SEMICENK DOU ,1,43522589
SHUBH,1,47956378
SPED UP 8282,1,103762518
INTERPLANETARY CRIMINAL ELIZA ROSE,1,244585109
CHINO PACAS,1,255932395
EM BEIHOLD,1,258714692
TRAVIS SCOTT YOUNG THUG METRO BOOMIN,1,276259178
THE CHAINSMOKERS HALSEY,1,2591224264
PAUL MCCARTNEY,1,403939487
SACHINJIGAR SHADAB FARIDI ALTAMASH FARIDI AMITABH BHATTACHARYA VARUN JAIN,1,54225632
CAMILA CABELLO ED SHEERAN,1,756907987
FUERZA REGIDA PESO PLUMA,1,158950978
FEID MORA,1,477033549
TISTO KAR,1,566954746
RICH THE KID MATU,1,77233241
NICKY YOURE DAZY,1,652704649
PESO PLUMA LUIS R CONRIQUEZ,1,295152154
MNEK JAX JONES,1,300983101
FUTURE LIL UZI VERT METRO BOOMIN,1,37126685
SZA DOJA CAT,1,1575467011
DUKI NICKI NICOLE CRIS MJ STANDLY STARS MUSIC CHILE,1,223582566
KENDRICK LAMAR BLXST AMANDA REIFER,1,237351106
METRO BOOMIN COI LERAY,1,70106975
BLACKBEAR BOYWITHUKE,1,197643795
MASKED WOLF,1,1138474110
BLESSD PESO PLUMA,1,127026613
SHAKIRA BIZARRAP,1,721975598
GRUPO MARCA REGISTRADA JUNIOR H,1,287278853
POLO G,1,797402345
PLAYBOI CARTI,1,506778838
KAROL G ROMEO SANTOS,1,266624541
MARLIA MENDONA MAIARA ,1,258316038
TI,1,1062345656
QUEVEDO JHAYCO,1,61105704
POLIMA WESTCOAST PAILITA,1,307752576
LATTO JUNG KOOK,1,141381703
PESO PLUMA YNG LVCAS,1,553634067
RAUW ALEJANDRO,2,1634602179
CALVIN HARRIS HALSEY PHARRELL WILLIAMS JUSTIN TIMBERLAKE,1,123473120
PESO PLUMA,2,425400058
